codigo,nombre,lat_pedida,lon_pedida,lat_celda,lon_celda,elevacion_m,utc_offset_seconds,distancia_km
SV-AH,Departamento de Ahuachapán,13.862852,-89.927281,13.900002,-89.9,1314.0,-21600,5.073
SV-CA,Departamento de Cabañas,13.882486,-88.738280,13.900002,-88.7,295.0,-21600,4.568
SV-CH,Departamento de Chalatenango,14.184036,-89.096088,14.200005,-89.1,439.0,-21600,1.825
SV-CU,Departamento de Cuscatlán,13.860774,-89.066072,13.900002,-89.1,680.0,-21600,5.696
SV-LI,La Libertad,13.744564,-89.361267,13.700005,-89.4,530.0,-21600,6.485
SV-MO,Departamento de Morazán,13.772663,-88.095185,13.800003,-88.1,491.0,-21600,3.084
SV-PA,Departamento de La Paz,13.465105,-88.985734,13.5,-89.0,38.0,-21600,4.176
SV-SA,Departamento de Santa Ana,14.116555,-89.568048,14.099998,-89.6,958.0,-21600,3.907
SV-SM,Departamento de San Miguel,13.533944,-88.201970,13.5,-88.2,302.0,-21600,3.780
SV-SO,Departamento de Sonsonate,13.711260,-89.659940,13.700005,-89.7,355.0,-21600,4.505
SV-SS,Departamento de San Salvador,13.773680,-89.159712,13.800003,-89.2,496.0,-21600,5.244
SV-SV,San Vicente,13.529453,-88.739911,13.5,-88.7,173.0,-21600,5.417
SV-UN,Departamento de La Unión,13.532884,-87.902462,13.5,-87.9,103.0,-21600,3.666
SV-US,Departamento de Usulután,13.429561,-88.540376,13.400002,-88.5,632.0,-21600,5.466
