codigo,nombre,lat,lon,geom_type
SV-AH,Departamento de Ahuachapán,13.862852,-89.927281,Polygon
SV-CA,Departamento de Cabañas,13.882486,-88.738280,Polygon
SV-CH,Departamento de Chalatenango,14.184036,-89.096088,Polygon
SV-CU,Departamento de Cuscatlán,13.860774,-89.066072,Polygon
SV-LI,La Libertad,13.744564,-89.361267,Polygon
SV-MO,Departamento de Morazán,13.772663,-88.095185,Polygon
SV-PA,Departamento de La Paz,13.465105,-88.985734,Polygon
SV-SA,Departamento de Santa Ana,14.116555,-89.568048,Polygon
SV-SM,Departamento de San Miguel,13.533944,-88.201970,Polygon
SV-SO,Departamento de Sonsonate,13.711260,-89.659940,Polygon
SV-SS,Departamento de San Salvador,13.773680,-89.159712,Polygon
SV-SV,San Vicente,13.529453,-88.739911,Polygon
SV-UN,Departamento de La Unión,13.532884,-87.902462,MultiPolygon
SV-US,Departamento de Usulután,13.429561,-88.540376,Polygon
