anio,semana,etiqueta_real,pred_argmax,p_bajo,p_medio,p_alto
2019,2,medio,bajo,0.930000,0.023333,0.046667
2019,3,medio,bajo,0.743333,0.086667,0.170000
2019,4,alto,bajo,0.726667,0.070000,0.203333
2019,5,alto,bajo,0.880000,0.030000,0.090000
2019,6,medio,bajo,0.840000,0.046667,0.113333
2019,7,medio,bajo,0.846667,0.006667,0.146667
2019,8,medio,bajo,0.903333,0.020000,0.076667
2019,9,medio,bajo,0.546667,0.033333,0.420000
2019,10,medio,bajo,0.550000,0.006667,0.443333
2019,11,medio,bajo,0.860000,0.003333,0.136667
2019,12,bajo,bajo,0.943333,0.003333,0.053333
2019,13,bajo,bajo,0.890000,0.016667,0.093333
2019,14,bajo,bajo,0.913333,0.000000,0.086667
2019,15,bajo,bajo,0.906667,0.016667,0.076667
2019,16,bajo,bajo,0.903333,0.000000,0.096667
2019,17,bajo,bajo,0.813333,0.000000,0.186667
2019,18,bajo,bajo,0.750000,0.000000,0.250000
2019,19,bajo,bajo,0.853333,0.000000,0.146667
2019,20,medio,bajo,0.943333,0.000000,0.056667
2019,21,medio,bajo,0.973333,0.000000,0.026667
2019,22,bajo,bajo,0.980000,0.003333,0.016667
2019,23,medio,bajo,0.980000,0.000000,0.020000
2019,24,medio,bajo,0.976667,0.006667,0.016667
2019,25,medio,bajo,0.993333,0.003333,0.003333
2019,26,alto,bajo,0.963333,0.016667,0.020000
2019,27,alto,bajo,0.953333,0.016667,0.030000
2019,28,alto,bajo,0.956667,0.010000,0.033333
2019,29,alto,bajo,0.930000,0.020000,0.050000
2019,30,alto,bajo,0.966667,0.000000,0.033333
2019,31,alto,bajo,0.983333,0.000000,0.016667
2019,32,alto,bajo,0.986667,0.000000,0.013333
2019,33,alto,bajo,0.970000,0.000000,0.030000
2019,34,alto,bajo,0.983333,0.000000,0.016667
2019,35,alto,bajo,0.963333,0.013333,0.023333
2019,36,alto,bajo,0.923333,0.026667,0.050000
2019,37,alto,bajo,0.933333,0.026667,0.040000
2019,38,alto,bajo,0.936667,0.020000,0.043333
2019,39,alto,bajo,0.956667,0.006667,0.036667
2019,40,alto,bajo,0.970000,0.000000,0.030000
2019,41,alto,bajo,0.990000,0.003333,0.006667
2019,42,alto,bajo,0.996667,0.000000,0.003333
2019,43,alto,bajo,0.936667,0.010000,0.053333
2019,44,alto,bajo,0.883333,0.023333,0.093333
2019,45,alto,bajo,0.880000,0.100000,0.020000
2019,46,alto,bajo,0.633333,0.363333,0.003333
2019,47,alto,bajo,0.870000,0.126667,0.003333
2019,48,alto,bajo,0.813333,0.180000,0.006667
2019,49,alto,bajo,0.960000,0.016667,0.023333
2019,50,alto,bajo,0.886667,0.063333,0.050000
2019,51,alto,bajo,0.716667,0.146667,0.136667
2022,2,alto,bajo,0.833333,0.060000,0.106667
2022,3,alto,bajo,0.880000,0.076667,0.043333
2022,4,medio,bajo,0.810000,0.073333,0.116667
2022,5,medio,bajo,0.646667,0.270000,0.083333
2022,6,alto,bajo,0.780000,0.150000,0.070000
2022,7,alto,bajo,0.700000,0.126667,0.173333
2022,8,alto,bajo,0.686667,0.136667,0.176667
2022,9,alto,bajo,0.873333,0.086667,0.040000
2022,10,alto,bajo,0.960000,0.013333,0.026667
2022,11,alto,bajo,0.886667,0.093333,0.020000
2022,12,alto,bajo,0.916667,0.076667,0.006667
2022,13,alto,bajo,0.943333,0.053333,0.003333
2022,14,alto,bajo,0.950000,0.043333,0.006667
2022,15,alto,bajo,0.986667,0.013333,0.000000
2022,16,alto,bajo,0.960000,0.036667,0.003333
2022,17,alto,bajo,0.943333,0.053333,0.003333
2022,18,alto,bajo,0.850000,0.130000,0.020000
2022,19,alto,bajo,0.870000,0.056667,0.073333
2022,20,alto,bajo,0.840000,0.006667,0.153333
2022,21,alto,bajo,0.860000,0.013333,0.126667
2022,22,alto,bajo,0.856667,0.050000,0.093333
2022,23,alto,bajo,0.733333,0.106667,0.160000
2022,24,alto,bajo,0.590000,0.100000,0.310000
2022,25,alto,bajo,0.523333,0.293333,0.183333
2022,26,medio,bajo,0.413333,0.400000,0.186667
2022,27,medio,medio,0.386667,0.433333,0.180000
2022,28,medio,bajo,0.746667,0.206667,0.046667
2022,29,medio,bajo,0.963333,0.016667,0.020000
2022,30,medio,bajo,0.940000,0.006667,0.053333
2022,31,medio,bajo,0.960000,0.006667,0.033333
2022,32,medio,bajo,0.933333,0.010000,0.056667
2022,33,bajo,bajo,0.933333,0.006667,0.060000
2022,34,bajo,bajo,0.980000,0.006667,0.013333
2022,35,bajo,bajo,0.953333,0.006667,0.040000
2022,36,bajo,bajo,0.786667,0.040000,0.173333
2022,37,bajo,bajo,0.653333,0.096667,0.250000
2022,38,bajo,bajo,0.496667,0.076667,0.426667
2022,39,bajo,bajo,0.450000,0.263333,0.286667
2022,40,bajo,bajo,0.413333,0.313333,0.273333
2022,41,bajo,medio,0.276667,0.470000,0.253333
2022,42,bajo,bajo,0.466667,0.316667,0.216667
2022,43,bajo,bajo,0.376667,0.350000,0.273333
2022,44,bajo,bajo,0.476667,0.236667,0.286667
2022,45,bajo,bajo,0.420000,0.333333,0.246667
2022,46,bajo,bajo,0.553333,0.263333,0.183333
2022,47,bajo,bajo,0.536667,0.173333,0.290000
2022,48,bajo,bajo,0.510000,0.113333,0.376667
2022,49,bajo,bajo,0.540000,0.166667,0.293333
2022,50,bajo,bajo,0.626667,0.196667,0.176667
2022,51,bajo,bajo,0.793333,0.050000,0.156667
